,NO_OF_CHILD,INCOME,EDUCATION_TYPE,FLAG_MOBIL,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME_TYPE_Commercial associate,INCOME_TYPE_Pensioner,INCOME_TYPE_State servant,INCOME_TYPE_Student,INCOME_TYPE_Working,FAMILY_TYPE_Civil marriage,FAMILY_TYPE_Married,FAMILY_TYPE_Separated,FAMILY_TYPE_Single / not married,FAMILY_TYPE_Widow,HOUSE_TYPE_Co-op apartment,HOUSE_TYPE_House / apartment,HOUSE_TYPE_Municipal apartment,HOUSE_TYPE_Office apartment,HOUSE_TYPE_Rented apartment,HOUSE_TYPE_With parents,GENDER_F,GENDER_M,CAR_N,CAR_Y,REALITY_N,REALITY_Y
0,-0.6882739753264739,-0.9762021307533797,4.0,1,0,0,0,-0.313425160935427,0.17515350540578375,1.9315080546786072,3.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
1,-0.6882739753264739,0.9895175438818647,4.0,1,0,1,1,-1.4292364916650342,-1.345589680700864,1.1992356299925797,8.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
2,-0.6882739753264739,0.9895175438818647,4.0,1,0,1,1,-1.4292364916650342,-0.007335676927014001,1.1992356299925797,8.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
3,-0.6882739753264739,0.9895175438818647,4.0,1,0,1,1,-1.4292364916650342,-0.007335676927014001,1.1992356299925797,8.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
4,-0.6882739753264739,0.9895175438818647,4.0,1,0,1,1,-1.4292364916650342,0.722621052404177,1.1992356299925797,8.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
5,-0.6882739753264739,0.9895175438818647,1.0,1,1,1,1,-0.313425160935427,-1.2847599532565983,0.5715735516902706,2.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
6,-0.6882739753264739,0.9895175438818647,1.0,1,1,1,1,-0.313425160935427,0.9659399621812407,0.5715735516902706,2.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
7,-0.6882739753264739,-0.566830251998108,4.0,1,0,0,0,-0.313425160935427,-0.5548032239254073,0.8854045908414251,3.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
8,-0.6882739753264739,-0.566830251998108,4.0,1,0,0,0,-0.313425160935427,-0.6156329513696731,0.8854045908414251,3.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
9,-0.6882739753264739,-0.566830251998108,4.0,1,0,0,0,-0.313425160935427,-1.1022707709238004,0.8854045908414251,3.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
